,High,Low,Open,Close,Volume,Adj Close,Date,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,incomeBeforeTax,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,totalAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,commonStockSharesOutstanding,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInCashAndCashEquivalents
20,119.30000305175781,116.05999755859375,116.93000030517578,119.2699966430664,85551400.0,110.2190933227539,2015-10-28,5.1501,0.5925,3.0953,2.0548,1.5062,1.1124,0.222,1.5062,0.3705,0.0439,1.4623,0.0238,0.3938,0.0895,1.1124,1.1124,29.0479,0.9539,17.1124,11.9355,0.894,2.7416,9.1939,1.2989,17.863,2.112,8.061,1.0999,-0.0345,2.2471,8.9378,16.4065,11.0346,2.0481,3.5889,5.3463,0.2349,6.0671,2.7416,9.2284,0.5556,20.1101,5.3463,3.3427,9.0514,29.0479,4.1601,0.5793,0.2556,1.2963,-0.1375,-0.0313,0.9801,-0.6299,-0.0102,1.1124,0.5801,1.3475,-0.62,0.3119,-0.2964,-1.3034,-0.0307,0.0417,-0.0523,0.3618,-0.6701,0.5801
21,120.69000244140625,118.2699966430664,118.69999694824219,120.52999877929688,51227300.0,111.38346862792969,2015-10-29,5.1501,0.5925,3.0953,2.0548,1.5062,1.1124,0.222,1.5062,0.3705,0.0439,1.4623,0.0238,0.3938,0.0895,1.1124,1.1124,29.0479,0.9539,17.1124,11.9355,0.894,2.7416,9.1939,1.2989,17.863,2.112,8.061,1.0999,-0.0345,2.2471,8.9378,16.4065,11.0346,2.0481,3.5889,5.3463,0.2349,6.0671,2.7416,9.2284,0.5556,20.1101,5.3463,3.3427,9.0514,29.0479,4.1601,0.5793,0.2556,1.2963,-0.1375,-0.0313,0.9801,-0.6299,-0.0102,1.1124,0.5801,1.3475,-0.62,0.3119,-0.2964,-1.3034,-0.0307,0.0417,-0.0523,0.3618,-0.6701,0.5801
22,121.22000122070312,119.44999694824219,120.98999786376953,119.5,49365300.0,110.43164825439453,2015-10-30,5.1501,0.5925,3.0953,2.0548,1.5062,1.1124,0.222,1.5062,0.3705,0.0439,1.4623,0.0238,0.3938,0.0895,1.1124,1.1124,29.0479,0.9539,17.1124,11.9355,0.894,2.7416,9.1939,1.2989,17.863,2.112,8.061,1.0999,-0.0345,2.2471,8.9378,16.4065,11.0346,2.0481,3.5889,5.3463,0.2349,6.0671,2.7416,9.2284,0.5556,20.1101,5.3463,3.3427,9.0514,29.0479,4.1601,0.5793,0.2556,1.2963,-0.1375,-0.0313,0.9801,-0.6299,-0.0102,1.1124,0.5801,1.3475,-0.62,0.3119,-0.2964,-1.3034,-0.0307,0.0417,-0.0523,0.3618,-0.6701,0.5801
23,121.36000061035156,119.61000061035156,120.80000305175781,121.18000030517578,32203300.0,111.98416137695312,2015-11-02,5.1501,0.5925,3.0953,2.0548,1.5062,1.1124,0.222,1.5062,0.3705,0.0439,1.4623,0.0238,0.3938,0.0895,1.1124,1.1124,29.0479,0.9539,17.1124,11.9355,0.894,2.7416,9.1939,1.2989,17.863,2.112,8.061,1.0999,-0.0345,2.2471,8.9378,16.4065,11.0346,2.0481,3.5889,5.3463,0.2349,6.0671,2.7416,9.2284,0.5556,20.1101,5.3463,3.3427,9.0514,29.0479,4.1601,0.5793,0.2556,1.2963,-0.1375,-0.0313,0.9801,-0.6299,-0.0102,1.1124,0.5801,1.3475,-0.62,0.3119,-0.2964,-1.3034,-0.0307,0.0417,-0.0523,0.3618,-0.6701,0.5801
24,123.48999786376953,120.69999694824219,120.79000091552734,122.56999969482422,45519000.0,113.26866149902344,2015-11-03,5.1501,0.5925,3.0953,2.0548,1.5062,1.1124,0.222,1.5062,0.3705,0.0439,1.4623,0.0238,0.3938,0.0895,1.1124,1.1124,29.0479,0.9539,17.1124,11.9355,0.894,2.7416,9.1939,1.2989,17.863,2.112,8.061,1.0999,-0.0345,2.2471,8.9378,16.4065,11.0346,2.0481,3.5889,5.3463,0.2349,6.0671,2.7416,9.2284,0.5556,20.1101,5.3463,3.3427,9.0514,29.0479,4.1601,0.5793,0.2556,1.2963,-0.1375,-0.0313,0.9801,-0.6299,-0.0102,1.1124,0.5801,1.3475,-0.62,0.3119,-0.2964,-1.3034,-0.0307,0.0417,-0.0523,0.3618,-0.6701,0.5801
25,123.81999969482422,121.62000274658203,123.12999725341797,122.0,44886100.0,112.7419204711914,2015-11-04,5.1501,0.5925,3.0953,2.0548,1.5062,1.1124,0.222,1.5062,0.3705,0.0439,1.4623,0.0238,0.3938,0.0895,1.1124,1.1124,29.0479,0.9539,17.1124,11.9355,0.894,2.7416,9.1939,1.2989,17.863,2.112,8.061,1.0999,-0.0345,2.2471,8.9378,16.4065,11.0346,2.0481,3.5889,5.3463,0.2349,6.0671,2.7416,9.2284,0.5556,20.1101,5.3463,3.3427,9.0514,29.0479,4.1601,0.5793,0.2556,1.2963,-0.1375,-0.0313,0.9801,-0.6299,-0.0102,1.1124,0.5801,1.3475,-0.62,0.3119,-0.2964,-1.3034,-0.0307,0.0417,-0.0523,0.3618,-0.6701,0.5801
26,122.69000244140625,120.18000030517578,121.8499984741211,120.91999816894531,39552700.0,112.2221908569336,2015-11-05,5.1501,0.5925,3.0953,2.0548,1.5062,1.1124,0.222,1.5062,0.3705,0.0439,1.4623,0.0238,0.3938,0.0895,1.1124,1.1124,29.0479,0.9539,17.1124,11.9355,0.894,2.7416,9.1939,1.2989,17.863,2.112,8.061,1.0999,-0.0345,2.2471,8.9378,16.4065,11.0346,2.0481,3.5889,5.3463,0.2349,6.0671,2.7416,9.2284,0.5556,20.1101,5.3463,3.3427,9.0514,29.0479,4.1601,0.5793,0.2556,1.2963,-0.1375,-0.0313,0.9801,-0.6299,-0.0102,1.1124,0.5801,1.3475,-0.62,0.3119,-0.2964,-1.3034,-0.0307,0.0417,-0.0523,0.3618,-0.6701,0.5801
27,121.80999755859375,120.62000274658203,121.11000061035156,121.05999755859375,33042300.0,112.35211181640625,2015-11-06,5.1501,0.5925,3.0953,2.0548,1.5062,1.1124,0.222,1.5062,0.3705,0.0439,1.4623,0.0238,0.3938,0.0895,1.1124,1.1124,29.0479,0.9539,17.1124,11.9355,0.894,2.7416,9.1939,1.2989,17.863,2.112,8.061,1.0999,-0.0345,2.2471,8.9378,16.4065,11.0346,2.0481,3.5889,5.3463,0.2349,6.0671,2.7416,9.2284,0.5556,20.1101,5.3463,3.3427,9.0514,29.0479,4.1601,0.5793,0.2556,1.2963,-0.1375,-0.0313,0.9801,-0.6299,-0.0102,1.1124,0.5801,1.3475,-0.62,0.3119,-0.2964,-1.3034,-0.0307,0.0417,-0.0523,0.3618,-0.6701,0.5801
28,121.80999755859375,120.05000305175781,120.95999908447266,120.56999969482422,33871400.0,111.89738464355469,2015-11-09,5.1501,0.5925,3.0953,2.0548,1.5062,1.1124,0.222,1.5062,0.3705,0.0439,1.4623,0.0238,0.3938,0.0895,1.1124,1.1124,29.0479,0.9539,17.1124,11.9355,0.894,2.7416,9.1939,1.2989,17.863,2.112,8.061,1.0999,-0.0345,2.2471,8.9378,16.4065,11.0346,2.0481,3.5889,5.3463,0.2349,6.0671,2.7416,9.2284,0.5556,20.1101,5.3463,3.3427,9.0514,29.0479,4.1601,0.5793,0.2556,1.2963,-0.1375,-0.0313,0.9801,-0.6299,-0.0102,1.1124,0.5801,1.3475,-0.62,0.3119,-0.2964,-1.3034,-0.0307,0.0417,-0.0523,0.3618,-0.6701,0.5801
29,118.06999969482422,116.05999755859375,116.9000015258789,116.7699966430664,59127900.0,108.37068939208984,2015-11-10,5.1501,0.5925,3.0953,2.0548,1.5062,1.1124,0.222,1.5062,0.3705,0.0439,1.4623,0.0238,0.3938,0.0895,1.1124,1.1124,29.0479,0.9539,17.1124,11.9355,0.894,2.7416,9.1939,1.2989,17.863,2.112,8.061,1.0999,-0.0345,2.2471,8.9378,16.4065,11.0346,2.0481,3.5889,5.3463,0.2349,6.0671,2.7416,9.2284,0.5556,20.1101,5.3463,3.3427,9.0514,29.0479,4.1601,0.5793,0.2556,1.2963,-0.1375,-0.0313,0.9801,-0.6299,-0.0102,1.1124,0.5801,1.3475,-0.62,0.3119,-0.2964,-1.3034,-0.0307,0.0417,-0.0523,0.3618,-0.6701,0.5801
